team_key,team_name_std,team_name_gps,team_name_wyscout,image_url,image_url_no_bg,image_source,created_at
1,AL AHLI,,AL AHLI,,,,2025-11-09 00:00:00+00:00
2,AL AKHDOUD,,AL AKHDOUD,,,,2025-11-09 00:00:00+00:00
3,AL ETTIFAQ,,AL ETTIFAQ,,,,2025-11-09 00:00:00+00:00
4,AL FATEH,,AL FATEH,,,,2025-11-09 00:00:00+00:00
5,AL FEIHA,,AL FEIHA,,,,2025-11-09 00:00:00+00:00
6,AL HAZEM,AL HAZEM,AL HAZEM,,,,2025-11-09 00:00:00+00:00
7,AL HILAL,,AL HILAL,,,,2025-11-09 00:00:00+00:00
8,AL ITTIHAD,,AL ITTIHAD,,,,2025-11-09 00:00:00+00:00
9,AL KHALEEJ,,AL KHALEEJ,,,,2025-11-09 00:00:00+00:00
10,AL KHOLOOD,,AL KHOLOOD,,,,2025-11-09 00:00:00+00:00
11,AL NAJMA,,AL NAJMA,,,,2025-11-09 00:00:00+00:00
12,AL NASSAR,,AL NASSAR,,,,2025-11-09 00:00:00+00:00
13,AL QADISIYAH,,AL QADISIYAH,,,,2025-11-09 00:00:00+00:00
14,AL RIYADH,,AL RIYADH,,,,2025-11-09 00:00:00+00:00
15,NEOM,,NEOM,,,,2025-11-09 00:00:00+00:00
